temp,pH,DO,date,time,datetime
26.187,7,97,7/9/2013,3:01:00,7/9/2013 3:01:00
26.187,7,97,7/9/2013,3:05:06,7/9/2013 3:05:06
26.187,7,97,7/9/2013,3:10:05,7/9/2013 3:10:05
26.187,7,97,7/9/2013,3:15:05,7/9/2013 3:15:05
26.187,7,97,7/9/2013,3:21:01,7/9/2013 3:21:01
26.187,7,97,7/9/2013,3:25:06,7/9/2013 3:25:06
26.187,7,97,7/9/2013,3:30:05,7/9/2013 3:30:05
26.187,7,97,7/9/2013,3:35:06,7/9/2013 3:35:06
26.187,7,97,7/9/2013,3:41:00,7/9/2013 3:41:00
26.187,7,97,7/9/2013,3:45:06,7/9/2013 3:45:06
26.187,7,97,7/9/2013,3:50:06,7/9/2013 3:50:06
26.187,7,97,7/9/2013,3:55:06,7/9/2013 3:55:06
26.187,7,97,7/9/2013,4:01:00,7/9/2013 4:01:00
26.187,7,97,7/9/2013,4:05:05,7/9/2013 4:05:05
26.187,7,97,7/9/2013,4:10:05,7/9/2013 4:10:05
26.187,7,97,7/9/2013,4:15:06,7/9/2013 4:15:06
26.187,7,97,7/9/2013,4:21:00,7/9/2013 4:21:00
26.187,7,97,7/9/2013,4:25:06,7/9/2013 4:25:06
26.187,7,97,7/9/2013,4:30:06,7/9/2013 4:30:06
26.187,7,97,7/9/2013,4:35:05,7/9/2013 4:35:05
26.187,7,97,7/9/2013,4:41:01,7/9/2013 4:41:01
26.187,7,97,7/9/2013,4:45:05,7/9/2013 4:45:05
26.187,7,97,7/9/2013,4:50:06,7/9/2013 4:50:06
26.187,7,97,7/9/2013,4:55:06,7/9/2013 4:55:06
26.25,7,97,7/9/2013,5:01:00,7/9/2013 5:01:00
26.25,7,97,7/9/2013,5:05:06,7/9/2013 5:05:06
26.25,7,97,7/9/2013,5:10:06,7/9/2013 5:10:06
26.25,7,97,7/9/2013,5:15:05,7/9/2013 5:15:05
26.25,7,97,7/9/2013,5:21:00,7/9/2013 5:21:00
26.187,7,97,7/9/2013,5:25:05,7/9/2013 5:25:05
26.25,7,97,7/9/2013,5:30:06,7/9/2013 5:30:06
26.25,7,97,7/9/2013,5:35:06,7/9/2013 5:35:06
26.25,7,97,7/9/2013,5:41:00,7/9/2013 5:41:00
26.187,7,97,7/9/2013,5:45:06,7/9/2013 5:45:06
26.25,7,97,7/9/2013,5:50:05,7/9/2013 5:50:05
26.25,7,97,7/9/2013,5:55:05,7/9/2013 5:55:05
26.25,7,97,7/9/2013,6:01:00,7/9/2013 6:01:00
26.25,7,97,7/9/2013,6:05:06,7/9/2013 6:05:06
26.25,7,97,7/9/2013,6:10:06,7/9/2013 6:10:06
26.25,7,97,7/9/2013,6:15:05,7/9/2013 6:15:05
26.25,7,97,7/9/2013,6:21:00,7/9/2013 6:21:00
26.25,7,97,7/9/2013,6:25:06,7/9/2013 6:25:06
26.25,7,97,7/9/2013,6:30:04,7/9/2013 6:30:04
26.25,7,97,7/9/2013,6:35:03,7/9/2013 6:35:03
26.25,7,97,7/9/2013,6:40:55,7/9/2013 6:40:55
26.25,7,97,7/9/2013,6:45:03,7/9/2013 6:45:03
26.25,7,97,7/9/2013,6:50:03,7/9/2013 6:50:03
26.25,7,97,7/9/2013,6:55:04,7/9/2013 6:55:04
26.25,7,97,7/9/2013,7:00:55,7/9/2013 7:00:55
26.25,7,97,7/9/2013,7:05:03,7/9/2013 7:05:03
26.25,7,97,7/9/2013,7:10:03,7/9/2013 7:10:03
26.25,7,97,7/9/2013,7:15:03,7/9/2013 7:15:03
26.25,7,97,7/9/2013,7:20:55,7/9/2013 7:20:55
