temp,pH,DO,date,time
26.187,7.0,97,2013-07-09,04:35:05.777240
26.187,7.0,97,2013-07-09,04:41:01.100153
26.187,7.0,97,2013-07-09,04:45:05.665657
26.187,7.0,97,2013-07-09,04:50:06.431993
26.187,7.0,97,2013-07-09,04:55:06.174848
26.25,7.0,97,2013-07-09,05:01:00.789360
26.25,7.0,97,2013-07-09,05:05:06.505549
26.25,7.0,97,2013-07-09,05:10:06.211735
26.25,7.0,97,2013-07-09,05:15:05.786289
26.25,7.0,97,2013-07-09,05:21:00.046257
26.187,7.0,97,2013-07-09,05:25:05.727045
26.25,7.0,97,2013-07-09,05:30:06.415075
26.25,7.0,97,2013-07-09,05:35:06.103347
26.25,7.0,97,2013-07-09,05:41:00.523489
26.187,7.0,97,2013-07-09,05:45:06.245040
26.25,7.0,97,2013-07-09,05:50:05.926851
26.25,7.0,97,2013-07-09,05:55:05.631549
26.25,7.0,97,2013-07-09,06:01:00.813452
26.25,7.0,97,2013-07-09,06:05:06.507456
26.25,7.0,97,2013-07-09,06:10:06.180682
26.25,7.0,97,2013-07-09,06:15:05.704595
26.25,7.0,97,2013-07-09,06:21:00.325428
26.25,7.0,97,2013-07-09,06:25:06.385899
26.25,7.0,97,2013-07-09,06:30:04.884774
26.25,7.0,97,2013-07-09,06:35:03.119284
26.25,7.0,97,2013-07-09,06:40:55.368982
26.25,7.0,97,2013-07-09,06:45:03.599062
26.25,7.0,97,2013-07-09,06:50:03.828629
26.25,7.0,97,2013-07-09,06:55:04.048223
26.25,7.0,97,2013-07-09,07:00:55.247687
26.25,7.0,97,2013-07-09,07:05:03.497180
26.25,7.0,97,2013-07-09,07:10:03.737224
26.25,7.0,97,2013-07-09,07:15:03.966388
26.25,7.0,97,2013-07-09,07:20:55.445443
26.25,7.0,97,2013-07-09,07:25:03.666285
26.25,7.0,97,2013-07-09,07:30:03.905639
26.25,7.0,97,2013-07-09,07:35:03.135243
26.25,7.0,97,2013-07-09,07:40:55.384987
26.25,7.0,97,2013-07-09,07:45:03.615501
26.25,7.0,97,2013-07-09,07:50:03.834998
26.25,7.0,97,2013-07-09,07:55:04.064300
26.25,7.0,97,2013-07-09,08:00:55.400933
26.25,7.0,97,2013-07-09,08:05:03.631122
26.25,7.0,97,2013-07-09,08:10:03.830720
26.25,7.0,97,2013-07-09,08:15:04.051147
26.25,7.0,97,2013-07-09,08:20:55.370377
26.25,7.0,97,2013-07-09,08:25:03.600388
26.25,7.0,97,2013-07-09,08:30:03.850298
26.25,7.0,97,2013-07-09,08:35:04.050341
26.25,7.0,97,2013-07-09,08:40:55.250010
26.312,7.0,97,2013-07-09,08:45:03.460153
26.25,7.0,97,2013-07-09,08:50:03.681786
26.312,7.0,97,2013-07-09,08:55:03.890657
26.25,7.0,97,2013-07-09,09:00:55.331979
26.312,7.0,97,2013-07-09,09:05:03.591717
26.312,7.0,97,2013-07-09,09:10:03.821313
26.312,7.0,97,2013-07-09,09:15:04.020900
26.312,7.0,97,2013-07-09,09:20:55.450411
26.312,7.0,97,2013-07-09,09:25:03.670578
26.312,7.0,97,2013-07-09,09:30:03.899803
26.312,7.0,97,2013-07-09,09:35:03.119630
26.312,7.0,97,2013-07-09,09:40:55.989110
26.312,7.0,97,2013-07-09,09:45:03.209010
26.312,7.0,97,2013-07-09,09:50:03.448855
26.312,7.0,97,2013-07-09,09:55:03.668657
26.312,7.0,97,2013-07-09,10:00:56.028413
26.312,7.0,97,2013-07-09,10:05:03.258160
26.312,7.0,97,2013-07-09,10:10:03.478154
26.312,7.0,97,2013-07-09,10:15:03.689703
26.375,7.0,97,2013-07-09,10:20:56.319108
26.312,7.0,97,2013-07-09,10:25:03.519531
26.375,7.0,97,2013-07-09,10:30:03.719368
26.375,7.0,97,2013-07-09,10:35:03.919296
26.375,7.0,97,2013-07-09,10:40:55.078896
26.375,7.0,97,2013-07-09,10:45:03.298930
26.375,7.0,97,2013-07-09,10:50:03.498855
26.375,7.0,97,2013-07-09,10:55:03.716380
26.375,7.0,97,2013-07-09,11:00:55.996722
26.375,7.0,97,2013-07-09,11:05:03.196557
26.375,7.0,97,2013-07-09,11:10:03.416261
26.375,7.0,97,2013-07-09,11:15:03.636215
26.375,7.0,97,2013-07-09,11:20:56.175839
26.375,7.0,97,2013-07-09,11:25:03.395908
26.375,7.0,97,2013-07-09,11:30:03.605809
26.375,7.0,97,2013-07-09,11:35:03.815263
26.375,7.0,97,2013-07-09,11:40:56.004948
26.375,7.0,97,2013-07-09,11:45:03.205294
26.375,7.0,97,2013-07-09,11:50:03.434946
26.375,7.0,97,2013-07-09,11:55:03.673889
26.437,7.0,97,2013-07-09,12:00:56.253469
26.437,7.0,97,2013-07-09,12:05:03.493387
26.437,7.0,97,2013-07-09,12:10:03.743353
26.437,7.0,97,2013-07-09,12:15:04.003415
